id,full_name,email,password,role,job_category,specific_role,skills,experience_level,experience_years,location,success_rate_job,jobs_completed,client_rating,rehire_rate,min_budget_idr,hourly_rate_usd,earnings_usd,platform_origin,project_type,is_available,profile_verified,created_at
256,Sari Laksita,sari.laksita928@icloud.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Full Stack Developer,Backend Developer,"Laravel, Git, PostgreSQL, Next.js, Redis",Intermediate,4,Surabaya,83.3,103,4.13,56.2,8656000,79.87,8676.77,PeoplePerHour,Retainer,1,1,2025-12-16 22:58:29
257,Lasmanto Hidayat,lasmanto.hidayat497@outlook.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,Next.js Developer,"Git, Vue.js, Redis",Beginner,1,Bogor,57.2,20,2.95,45.6,4797000,39.27,3056.78,Koneksi Pribadi,Hourly,1,0,2024-01-18 7:29:35
258,"Viman Suwarno, S.H.",viman.suwarno.s.h.186@konekin.id,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Laravel Developer,"REST API, Docker, Next.js, Node.js, Redis",Intermediate,5,Bogor,83.1,140,5,72.4,14589000,64.67,8732.23,Konekin,Retainer,1,1,2025-08-01 7:35:55
259,Cinthia Usada,cinthia.usada172@gmail.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Node.js Developer,"PostgreSQL, Vue.js, TypeScript, Docker, Laravel, Next.js, Node.js",Expert,13,Manado,79.6,482,4.13,85.1,3056000,71.26,2716.02,PeoplePerHour,Fixed,1,1,2025-06-15 8:05:19
260,Ibun Marbun,ibun.marbun653@icloud.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Next.js Developer,"PostgreSQL, Next.js, Git",Beginner,2,Makassar,49.2,30,2.12,30.1,4996000,40.27,3035.24,PeoplePerHour,Hourly,1,0,2025-06-04 12:01:02
261,Arsipatra Simbolon,arsipatra.simbolon561@outlook.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Frontend Developer,"PostgreSQL, Node.js, Laravel, Git, React, TypeScript, Redis",Expert,6,Yogyakarta,78,106,3.4,52,9944000,46.36,6421.1,Konekin,Hourly,0,1,2025-09-24 10:04:55
262,Kani Wahyudin,kani.wahyudin823@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Frontend Developer,"REST API, PostgreSQL, Docker, MySQL, Next.js",Intermediate,3,Malang,77.2,144,4.01,65.9,2340000,69.54,3215.46,Koneksi Pribadi,Fixed,0,1,2024-08-19 23:33:55
263,Karta Zulkarnain,karta.zulkarnain341@konekin.id,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Next.js Developer,"REST API, React, Vue.js, TypeScript, Docker, Next.js, PostgreSQL",Expert,6,Malang,84.2,191,4.76,56.5,7216000,65.77,8414.41,Konekin,Fixed,1,1,2025-01-15 4:02:35
264,"R.M. Cawisono Natsir, S.Pt",r.m..cawisono.natsir.s.pt586@gmail.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,Vue.js Developer,"Laravel, Next.js, Docker, PostgreSQL, Vue.js",Intermediate,5,Jakarta,75.4,62,3.78,58.4,3090000,68.96,4881.15,Toptal,Milestone,0,1,2025-03-03 21:39:02
265,Raina Zulaika,raina.zulaika414@konekin.id,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Frontend Developer,"TypeScript, MySQL, Next.js, PostgreSQL, Docker",Intermediate,5,Bogor,74.7,99,3.22,61.2,5066000,78.49,6451.94,Toptal,Retainer,1,1,2024-01-24 22:50:34
266,R. Gina Hariyah,r..gina.hariyah779@konekin.id,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Backend Developer,"Docker, React, MySQL, REST API, Next.js, Git, Node.js",Expert,10,Surabaya,92.8,431,4.75,86.4,8819000,69.56,8733.61,Fiverr,Fixed,1,1,2025-04-04 0:49:52
267,Hamima Widiastuti,hamima.widiastuti399@konekin.id,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Frontend Developer,"Laravel, MySQL, Redis",Beginner,1,Denpasar,58,34,2.48,27.9,3044000,94.69,4484.32,Koneksi Pribadi,Milestone,1,0,2023-05-16 8:48:04
268,"drg. Umay Suwarno, M.Pd",drg..umay.suwarno.m.pd38@gmail.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Frontend Developer,"Next.js, Vue.js, Laravel, Redis, Git",Intermediate,5,Bekasi,68.8,48,3.38,55.2,7734000,66.38,8238.87,Toptal,Hourly,1,1,2023-10-26 4:00:13
269,Jelita Rahmawati,jelita.rahmawati117@gmail.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Backend Developer,"MySQL, React, Git, TypeScript, Vue.js, REST API, Next.js",Expert,13,Palembang,75.8,132,3.56,64.2,11103000,93.66,7454.47,Konekin,Fixed,1,1,2024-03-28 20:37:02
270,Shakila Ramadan,shakila.ramadan776@yahoo.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Full Stack Developer,Next.js Developer,"React, Next.js, Git, Docker, Vue.js",Intermediate,4,Bandung,64.1,51,3.08,39.3,3005000,89.43,4397.02,Konekin,Fixed,1,1,2024-09-17 15:12:49
271,Faizah Winarno,faizah.winarno724@gmail.com,$2b$10$mMzoiB6EbeUTYWeYgtMVEOr/MXz5MJdRoxTpKpUdC/u6DBJLqfyb6,creative_worker,Full Stack Developer,Backend Developer,"Vue.js, Git, Laravel",Beginner,2,Pekanbaru,42.4,33,2.39,31.5,6971000,59.23,6046.57,Toptal,Fixed,1,1,2025-11-26 2:04:33
272,Dasa Wibowo,dasa.wibowo5@konekin.id,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Laravel Developer,"TypeScript, Redis, Node.js",Beginner,1,Malang,49.9,15,2.77,48.2,2526000,47.14,1584.61,Konekin,Hourly,1,0,2025-01-21 17:41:08
273,Tgk. Tira Sihombing,tgk..tira.sihombing510@konekin.id,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Backend Developer,"REST API, Laravel, React",Beginner,1,Semarang,64.7,6,3.81,46.7,7200000,45.07,4364.31,Koneksi Pribadi,Fixed,0,0,2023-05-30 2:37:34
274,"Hj. Lala Saefullah, S.Ked",hj..lala.saefullah.s.ked917@gmail.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,Vue.js Developer,"Node.js, React, MySQL, Redis, Next.js",Intermediate,3,Denpasar,66.8,122,2.97,57.9,7488000,76.03,4236.34,Freelancer,Hourly,1,1,2025-01-15 4:04:05
275,"Prayogo Hardiansyah, M.Ak",prayogo.hardiansyah.m.ak600@konekin.id,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Node.js Developer,"Next.js, MySQL, PostgreSQL",Beginner,2,Medan,63.1,16,3.26,60.4,6131000,30.23,3976.11,Konekin,Fixed,1,0,2025-07-30 13:40:30
276,"Tgk. Vicky Pradana, M.Ak",tgk..vicky.pradana.m.ak873@gmail.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Laravel Developer,"Next.js, Git, Vue.js",Beginner,2,Bandung,51.1,32,2.11,49.2,2161000,42.14,2602.8,Freelancer,Milestone,1,1,2025-09-30 18:18:13
277,Makara Nainggolan,makara.nainggolan286@konekin.id,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Full Stack Developer,Full Stack Developer,"Git, Laravel, Docker, Next.js, TypeScript",Intermediate,3,Tangerang,70.4,61,3.03,56.5,4796000,89.56,2623.73,Toptal,Milestone,0,1,2025-03-16 9:25:23
278,"Perkasa Wahyuni, S.E.I",perkasa.wahyuni.s.e.i464@gmail.com,$2b$10$Y87Y1nCupf1KD6fUhv4xYOEP9it/F3qpwbl8XSm0luc9zyp.fCqka,creative_worker,Full Stack Developer,Full Stack Developer,"MySQL, PostgreSQL, Node.js",Beginner,2,Pekanbaru,63.5,18,3.61,59.1,5885000,50.5,6483.91,PeoplePerHour,Retainer,1,1,2025-03-24 10:53:26
279,"Mariadi Gunarto, S.Pd",mariadi.gunarto.s.pd766@icloud.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Node.js Developer,"Next.js, Laravel, React",Beginner,1,Manado,63.8,11,3.14,58.2,8870000,47.78,7276.84,Konekin,Retainer,0,1,2025-09-16 3:59:06
280,Labuh Utama,labuh.utama556@icloud.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Node.js Developer,"TypeScript, Next.js, MySQL, Laravel, React",Intermediate,5,Bekasi,66.2,131,3.43,67.6,10659000,45.18,5887.73,Toptal,Fixed,1,1,2025-07-16 12:44:39
281,Upik Sihombing,upik.sihombing180@outlook.com,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,React Developer,"Redis, Git, Node.js, Next.js, MySQL",Intermediate,5,Manado,69.2,120,3.42,56.2,5151000,60.47,3546.42,PeoplePerHour,Milestone,1,1,2024-04-28 1:29:55
282,Ellis Pangestu,ellis.pangestu65@gmail.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Next.js Developer,"TypeScript, PostgreSQL, REST API, MySQL, React",Intermediate,4,Bandung,67.7,74,3.05,57.6,9916000,55.26,7602.39,Konekin,Milestone,1,1,2023-09-27 21:07:03
283,Tgk. Karta Mardhiyah,tgk..karta.mardhiyah982@outlook.com,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,Vue.js Developer,"Docker, Next.js, TypeScript, Vue.js, REST API",Intermediate,3,Bekasi,77,119,4,65,1635000,91.41,2474.9,PeoplePerHour,Fixed,1,1,2026-01-30 23:53:49
284,"R. Hamima Laksmiwati, S.Pd",r..hamima.laksmiwati.s.pd65@yahoo.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,React Developer,"Next.js, Redis, MySQL, REST API, TypeScript",Intermediate,3,Medan,75.7,141,3.97,42.6,6900000,45.19,5060.89,Koneksi Pribadi,Retainer,1,1,2025-08-01 2:09:17
285,Wani Latupono,wani.latupono233@outlook.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Backend Developer,"TypeScript, PostgreSQL, Vue.js",Beginner,2,Semarang,50.4,6,2.7,45.2,7217000,66.4,8640.95,Fiverr,Fixed,1,1,2024-09-30 5:30:57
286,Caket Prasetyo,caket.prasetyo130@icloud.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Full Stack Developer,"Vue.js, MySQL, REST API, TypeScript, Redis, PostgreSQL, Git",Expert,13,Depok,90.3,233,4.38,77.2,12327000,69.92,6598.5,Freelancer,Hourly,0,1,2025-12-03 13:01:57
287,"Samiah Widodo, M.Pd",samiah.widodo.m.pd160@outlook.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Next.js Developer,"Git, Next.js, Vue.js",Beginner,1,Palembang,64.9,35,3.17,44.3,8553000,41.74,4686.07,PeoplePerHour,Fixed,0,0,2024-06-09 20:33:48
288,"dr. Aditya Saptono, M.Pd",dr..aditya.saptono.m.pd695@yahoo.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Full Stack Developer,Laravel Developer,"Laravel, Git, Node.js, TypeScript, Next.js",Intermediate,5,Jakarta,82.9,44,4.04,75.8,5763000,53.45,7695.19,Konekin,Milestone,1,1,2023-09-18 11:43:19
289,Samiah Wulandari,samiah.wulandari404@icloud.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Next.js Developer,"MySQL, Docker, Redis, Laravel, PostgreSQL, Vue.js, Next.js",Expert,9,Balikpapan,74.1,361,3.73,79.8,6435000,31.1,3760.73,Konekin,Hourly,0,1,2024-02-17 7:48:23
290,Yuni Uyainah,yuni.uyainah823@konekin.id,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,Node.js Developer,"Git, Redis, React, Vue.js, Node.js, TypeScript, REST API",Expert,13,Bandung,78.9,247,4.19,76.9,9431000,74.65,8161.33,Toptal,Milestone,1,1,2026-03-01 8:47:36
291,Mursita Pradipta,mursita.pradipta420@gmail.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,React Developer,"PostgreSQL, TypeScript, REST API, Laravel, Redis",Intermediate,5,Pekanbaru,79.1,101,3.8,50.7,13981000,34.94,8301.95,Toptal,Milestone,1,1,2024-10-03 16:14:01
292,Drs. Jane Suryatmi,drs..jane.suryatmi811@gmail.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Full Stack Developer,Laravel Developer,"PostgreSQL, Docker, Vue.js",Beginner,1,Jakarta,57.4,12,2.81,70.8,11143000,55.44,7640.79,Konekin,Retainer,0,0,2024-01-03 15:01:46
293,Makara Hariyah,makara.hariyah764@icloud.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Full Stack Developer,"Redis, Git, Laravel, PostgreSQL, Vue.js",Intermediate,4,Medan,63,141,2.96,49.6,9701000,81.37,8788.92,Upwork,Milestone,1,1,2026-01-26 12:05:44
294,Sadina Wasita,sadina.wasita168@outlook.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Backend Developer,"Next.js, React, TypeScript, Node.js, Vue.js",Intermediate,3,Balikpapan,84.2,64,3.94,78.3,8638000,23.65,8632.28,Upwork,Retainer,1,1,2023-09-10 21:56:03
295,Warsita Firgantoro,warsita.firgantoro702@outlook.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,Laravel Developer,"Docker, MySQL, Vue.js, React, Node.js",Intermediate,5,Denpasar,70.6,104,3.41,53.2,3108000,41.11,1922.99,Koneksi Pribadi,Fixed,0,1,2024-04-03 13:38:06
296,Calista Kuswoyo,calista.kuswoyo939@konekin.id,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Full Stack Developer,Frontend Developer,"REST API, Git, TypeScript, MySQL, Vue.js, Next.js, Redis",Expert,7,Makassar,88.6,159,4.72,50.3,5159000,43.37,4732.05,Fiverr,Hourly,1,1,2024-01-18 8:16:35
297,R.M. Harsanto Hasanah,r.m..harsanto.hasanah129@outlook.com,$2b$10$jxo42mUwZQgGLTwD0tWQMetlW9aWGO8i2C5Wg0LdjJb1R0TGcPQcu,creative_worker,Full Stack Developer,Next.js Developer,"Next.js, TypeScript, Git",Beginner,1,Yogyakarta,57.2,10,2.95,61,5386000,23.19,7010.14,Upwork,Fixed,1,1,2024-06-15 14:16:05
298,"Tami Namaga, S.Farm",tami.namaga.s.farm773@gmail.com,$2b$10$lJ3EpiiilMzZTtPK6o36ueAO/Js3OAEKGtCt1ioP9DRXAv3p4VD9K,creative_worker,Full Stack Developer,Node.js Developer,"React, Vue.js, PostgreSQL",Beginner,1,Bogor,61.5,10,3.25,45.9,8815000,33.86,8189.63,Fiverr,Hourly,1,0,2025-02-07 15:07:40
299,"Eva Agustina, S.IP",eva.agustina.s.ip782@icloud.com,$2b$10$esOP.2sm3zqWj6muZvyqQeqYNMpiTdwvqIyMQQLdl..EvMvim7wim,creative_worker,Full Stack Developer,Backend Developer,"TypeScript, REST API, MySQL, Vue.js, Next.js",Intermediate,3,Bogor,59.5,66,2.89,55.5,1504000,74.4,835.5,Freelancer,Milestone,1,1,2025-11-04 13:32:05
300,drg. Indah Firmansyah,drg..indah.firmansyah234@icloud.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,Next.js Developer,"MySQL, PostgreSQL, TypeScript, Laravel, React",Intermediate,4,Yogyakarta,83.8,44,4.21,58.4,5816000,58.98,4620.39,Freelancer,Retainer,0,1,2025-05-31 10:10:42
301,Ibun Handayani,ibun.handayani754@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Full Stack Developer,"REST API, Next.js, MySQL",Beginner,2,Pekanbaru,49.1,17,1.92,31.5,5626000,34.16,7814,PeoplePerHour,Fixed,0,1,2026-03-12 14:41:23
302,"dr. Cinthia Uwais, M.Pd",dr..cinthia.uwais.m.pd675@icloud.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,Vue.js Developer,"Vue.js, React, MySQL, Node.js, Git",Intermediate,5,Yogyakarta,69.8,40,3.71,62.7,10199000,93.32,6499.3,Fiverr,Milestone,0,1,2026-01-18 1:49:55
303,"Gatot Halim, S.Sos",gatot.halim.s.sos784@outlook.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Frontend Developer,"Docker, REST API, TypeScript, PostgreSQL, Vue.js",Intermediate,5,Yogyakarta,73.1,126,3.25,62,5692000,55.69,4081.93,Upwork,Milestone,0,1,2024-03-03 8:36:21
304,Warta Hasanah,warta.hasanah644@yahoo.com,$2b$10$RKzRMNnuKrTGcmS1HGNSv.7MVEVgkhhF63fWF30WoQaUWlkY4gYAK,creative_worker,Full Stack Developer,React Developer,"Docker, Git, MySQL",Beginner,1,Yogyakarta,43.9,4,2.28,37.1,2530000,70.86,1359.48,Koneksi Pribadi,Fixed,0,1,2023-08-14 12:26:10
305,Maras Uyainah,maras.uyainah301@yahoo.com,$2b$10$eZT5K/vM1d3A6CtN5k88/.bTrmTmBi6ODcYssIUyvEfXz5p6RRM9e,creative_worker,Full Stack Developer,Next.js Developer,"Docker, React, Redis, REST API, MySQL",Intermediate,5,Bekasi,62.5,99,3.13,39,3549000,91.44,5282.28,Konekin,Fixed,1,1,2025-02-18 8:59:20
306,Asirwanda Sitorus,asirwanda.sitorus676@icloud.com,$2b$10$uxnQnkSaOojGr0XWBJzKp.iyV/GJjdaPL/ZYjqHpoBMHkbiLIt6Tu,creative_worker,Full Stack Developer,Full Stack Developer,"Git, Next.js, REST API, TypeScript, Redis, Node.js, PostgreSQL",Expert,10,Depok,98.2,461,5,87.7,5372000,49.18,3362.17,Upwork,Milestone,0,1,2024-01-27 22:52:26
307,Panji Pratiwi,panji.pratiwi693@icloud.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Node.js Developer,"Laravel, Next.js, MySQL, Docker, React",Intermediate,4,Bogor,72.7,37,3.39,61.2,12030000,46.17,7662.86,Freelancer,Retainer,1,1,2023-12-16 22:01:22
308,"Drs. Fathonah Rahmawati, S.Kom",drs..fathonah.rahmawati.s.kom254@yahoo.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Vue.js Developer,"Vue.js, Laravel, TypeScript, MySQL, Next.js",Intermediate,3,Manado,72.4,112,3.57,61.8,5003000,85.17,6441.53,Freelancer,Retainer,1,1,2025-10-12 22:45:22
309,Gambira Maulana,gambira.maulana603@konekin.id,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,Vue.js Developer,"REST API, TypeScript, MySQL, Vue.js, PostgreSQL",Intermediate,3,Denpasar,79.8,79,3.96,61.8,4287000,71.81,4804.54,Freelancer,Fixed,1,1,2025-09-16 4:51:36
310,Cut Ika Maulana,cut.ika.maulana272@outlook.com,$2b$10$ydJHVpWmJRKh1qtAE3wJKuziEmRHy0m9SrcJa2sj8cOhlsg8qlo.q,creative_worker,Full Stack Developer,React Developer,"Git, React, Redis",Beginner,1,Bandung,58.3,22,3.22,46.4,1985000,75.72,2652.27,Toptal,Milestone,0,0,2026-04-22 2:57:23
311,T. Raditya Natsir,t..raditya.natsir815@outlook.com,$2b$10$XLFVX4iMQWm/y5LJfBH44OcRELtlaZHj9CAVi4BlVC/dZ4YhCozuu,creative_worker,Full Stack Developer,Backend Developer,"TypeScript, REST API, Redis, Vue.js, Laravel",Intermediate,3,Pekanbaru,68.1,132,3.2,49.9,3200000,51.07,3369.49,Fiverr,Milestone,1,1,2023-09-03 12:26:18
312,"Cut Diah Budiman, S.I.Kom",cut.diah.budiman.s.i.kom829@icloud.com,$2b$10$PpikZa2HME0U0EPOC8RTYOk9CpJrerHruAn9pji4vn5YRyd9D.zUq,creative_worker,Full Stack Developer,Vue.js Developer,"MySQL, REST API, Vue.js, Node.js, Git",Intermediate,5,Tangerang,83.2,139,4.2,56,7032000,67.01,5442.15,Upwork,Fixed,1,1,2025-09-17 16:07:20
313,Lanjar Sinaga,lanjar.sinaga274@konekin.id,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Full Stack Developer,"PostgreSQL, REST API, Next.js, TypeScript, Docker",Intermediate,4,Denpasar,68.3,106,3.23,55.3,3328000,22.08,2029.69,Fiverr,Retainer,1,1,2023-05-23 8:40:26
314,Anastasia Mahendra,anastasia.mahendra265@gmail.com,$2b$10$lOFBaETjp0rB6RUNP510W.HmiqcIWld0DkEMHVXwzcUg7M6x9Q/2u,creative_worker,Full Stack Developer,Node.js Developer,"Laravel, React, MySQL, PostgreSQL, Next.js",Intermediate,4,Bandung,77.9,114,3.49,57.8,1858000,74.19,1146.31,Freelancer,Hourly,1,1,2025-07-26 18:50:30
315,R. Panca Haryanto,r..panca.haryanto585@gmail.com,$2b$10$9V7WM6OryC5gxeAfHtVgLeCCFy4sHg3sFeG3VPaeInC8RJdBdXLym,creative_worker,Full Stack Developer,Vue.js Developer,"MySQL, Git, Docker",Beginner,1,Denpasar,40.1,36,1.93,31.8,4546000,29.17,2752.23,Fiverr,Fixed,1,0,2024-10-08 21:38:52
316,"Tgk. Kambali Rahayu, S.IP",tgk..kambali.rahayu.s.ip451@outlook.com,$2b$10$h/alQU2q/37tERRV6n.HTeqRmNVGh3ss2gX1eywggJ.cznOXXtlJG,creative_worker,Full Stack Developer,Next.js Developer,"TypeScript, Docker, REST API, Node.js, PostgreSQL, Next.js, React",Expert,12,Bogor,99.9,230,5,77.3,4009000,72.47,5174.45,Koneksi Pribadi,Retainer,1,1,2024-09-12 8:11:15
317,Warsita Susanti,warsita.susanti36@icloud.com,$2b$10$bF4XAYqEp0/3BZPdEXI9XO24Ao2s38L2PgIvGBGsM.17uQTFT1PaG,creative_worker,Full Stack Developer,Vue.js Developer,"Redis, MySQL, React, TypeScript, Node.js",Intermediate,5,Jakarta,62,118,2.49,62.6,4138000,48.85,2874.46,Freelancer,Retainer,1,1,2023-06-22 14:03:25
318,"Ir. Karma Sihombing, M.M.",ir..karma.sihombing.m.m.959@gmail.com,$2b$10$hM1dP620208GIDh3bSQH6eCIteGzf4sQVlNyukgBMCupdQFRyG00a,creative_worker,Full Stack Developer,Vue.js Developer,"Next.js, Docker, Laravel, PostgreSQL, React, Redis, Node.js",Expert,9,Palembang,79.1,252,4.11,83.7,14490000,67.35,8310.3,PeoplePerHour,Milestone,1,1,2025-04-09 23:47:04
319,Aswani Kuswandari,aswani.kuswandari716@yahoo.com,$2b$10$URVgcu4DLdubHJg54N9.ZuPrUHAy/73IXoPntcHC1UjMaofAzJcYe,creative_worker,Full Stack Developer,Vue.js Developer,"Next.js, REST API, Vue.js",Beginner,2,Denpasar,47.6,38,2.37,37.2,1478000,23.91,1024.28,PeoplePerHour,Retainer,1,0,2025-11-19 11:19:17
320,Silvia Kurniawan,silvia.kurniawan162@gmail.com,$2b$10$KyISMiIAvcHdibbDXG3W0ON.egUn2e4HHKSpu/BXeHTrj0mEwS25u,creative_worker,Full Stack Developer,Backend Developer,"Docker, MySQL, REST API, Git, Vue.js",Intermediate,3,Palembang,63.2,96,3.04,33.9,8467000,29.76,6123.28,Koneksi Pribadi,Retainer,1,1,2024-10-24 6:24:42
321,Belinda Hutapea,belinda.hutapea425@gmail.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,React Developer,"Git, Next.js, Node.js, React, REST API",Intermediate,4,Semarang,78.8,150,4.5,69.6,1298000,21.72,970.02,Konekin,Milestone,0,1,2024-04-23 0:20:20
322,Atmaja Mahendra,atmaja.mahendra267@icloud.com,$2b$10$.tKY/dCn6kycHE3w7HAQSesWjLUkMO4KLJeW0qQknUh/16n5x9MyS,creative_worker,Full Stack Developer,React Developer,"REST API, Next.js, Redis, React, Node.js, MySQL, TypeScript",Expert,8,Solo,76,145,3.98,59.2,7069000,21.06,5451.39,PeoplePerHour,Milestone,0,1,2024-03-02 9:50:49
